"mortality" "Nox" "Sox" "Prec" "Income"
921.87 15 59 36 "High"
997.875 10 39 35 "Low"
962.354 6 33 44 "High"
982.291 8 24 47 "Low"
1071.289 38 206 43 "Low"
1030.38 32 72 53 "Low"
934.7 32 62 43 "High"
899.529 4 4 45 "High"
1001.902 12 37 36 "High"
912.347 7 20 36 "High"
1017.613 8 27 52 "Low"
1024.885 63 278 33 "High"
970.467 26 146 40 "Low"
985.95 21 64 35 "High"
958.839 9 15 37 "Low"
860.101 1 1 35 "Low"
936.234 4 16 36 "High"
871.766 8 28 15 "High"
959.221 35 124 31 "Low"
941.181 4 11 30 "High"
891.708 1 1 31 "Low"
871.338 3 10 31 "High"
971.122 3 5 42 "Low"
887.466 3 10 43 "High"
952.529 5 1 46 "Low"
968.665 7 33 39 "High"
919.729 4 4 35 "Low"
844.053 7 32 43 "High"
861.833 319 130 11 "High"
989.265 37 193 30 "Low"
1006.49 18 34 50 "Low"
861.439 1 1 60 "Low"
929.15 23 125 30 "High"
857.622 11 26 25 "High"
961.009 14 78 45 "Low"
923.234 3 8 46 "High"
1113.156 17 1 54 "Low"
994.648 26 108 42 "High"
1015.023 32 161 42 "High"
991.29 59 263 36 "Low"
893.991 21 44 37 "Low"
938.5 4 18 42 "Low"
946.185 11 89 41 "Low"
1025.502 9 48 44 "Low"
874.281 4 18 32 "High"
953.56 15 68 34 "Low"
839.709 66 20 10 "Low"
911.701 171 86 18 "High"
790.733 32 3 13 "High"
899.264 7 20 35 "High"
904.155 4 20 45 "High"
950.672 5 25 38 "High"
972.464 7 25 31 "Low"
912.202 2 11 40 "Low"
967.803 28 102 41 "High"
823.764 2 1 28 "High"
1003.502 11 42 45 "High"
895.696 3 8 45 "Low"
911.817 8 49 42 "Low"
954.442 13 39 38 "High"
